receipt,family,date_field,recorded,age_days
runs/latest-top20-refresh/postgresql-18.6.10/live-parity/static-passwords/receipt.yaml,latest-top20-refresh,observedAt,2026-06-10T12:19:59Z,77
runs/latest-top20-refresh/postgresql-18.7.0/live-parity/static-passwords/receipt.yaml,latest-top20-refresh,observedAt,2026-06-10T17:31:05Z,77
runs/latest-top20-refresh/prometheus-29.9.0/live-parity/server-only-ephemeral/receipt.yaml,latest-top20-refresh,observedAt,2026-06-10T12:27:44Z,77
runs/latest-top20-refresh/redis-27.0.0/live-parity/default/receipt.yaml,latest-top20-refresh,observedAt,2026-06-10T14:19:50Z,77
runs/live-helm-confighub-compare/hashicorp-vault-dev-mode/receipt.yaml,live-helm-confighub-compare,observedAt,2026-06-09T22:01:11Z,77
runs/live-kind-parity/cloudnative-pg-cloudnative-pg-default/receipt.yaml,live-kind-parity,observedAt,2026-06-10T08:46:48Z,77
runs/live-kind-parity/elastic-eck-operator-default/receipt.yaml,live-kind-parity,observedAt,2026-06-10T09:04:40Z,77
runs/live-kind-parity/elastic-logstash-default/receipt.yaml,live-kind-parity,observedAt,2026-06-10T09:36:40Z,77
runs/live-kind-parity/external-dns-external-dns-dry-run-txt-registry/receipt.yaml,live-kind-parity,observedAt,2026-06-10T08:31:06Z,77
runs/live-kind-parity/grafana-alloy-default/receipt.yaml,live-kind-parity,observedAt,2026-06-10T09:13:32Z,77
runs/live-kind-parity/grafana-tempo-s3-query-observability/receipt.yaml,live-kind-parity,observedAt,2026-06-10T06:53:42Z,77
runs/live-kind-parity/hashicorp-consul-secure-mesh-existing-secrets/receipt.yaml,live-kind-parity,observedAt,2026-06-10T06:26:56Z,77
runs/live-kind-parity/hashicorp-vault-default/receipt.yaml,live-kind-parity,observedAt,2026-06-10T07:11:21Z,77
runs/live-kind-parity/hashicorp-vault-dev-mode/receipt.yaml,live-kind-parity,observedAt,2026-06-09T21:47:04Z,77
runs/live-kind-parity/hashicorp-vault-ha-raft-ui/receipt.yaml,live-kind-parity,observedAt,2026-06-10T07:47:17Z,77
