chart,variant,lane,lane_label,recorded,disposition,derived,reason,next_action,owner
jaegertracing/jaeger-operator@2.57.0,no-crds,two_cluster_kind_parity,K,missing,blocked,yes,upstream: single-cluster local live is blocked (missing prerequisite (mount/secret/config)),resolve the local-live prerequisite first; the live lanes inherit it,either
jaegertracing/jaeger@4.8.0,default,render_parity,R,pass,pass,no,,,
jaegertracing/jaeger@4.8.0,default,in_confighub,C,pass,pass,no,,,
jaegertracing/jaeger@4.8.0,default,local_live,L,pass,pass,no,,,
jaegertracing/jaeger@4.8.0,default,gitops_oci_live,G,pass,pass,no,,,
jaegertracing/jaeger@4.8.0,default,live_helm_vs_confighub_parity,P,pass,pass,no,,,
jaegertracing/jaeger@4.8.0,default,two_cluster_kind_parity,K,pass,pass,no,,,
jetstack/cert-manager-csi-driver@v0.14.0,default,render_parity,R,pass,pass,no,,,
jetstack/cert-manager-csi-driver@v0.14.0,default,in_confighub,C,pass,pass,no,,,
jetstack/cert-manager-csi-driver@v0.14.0,default,local_live,L,pass,pass,no,,,
jetstack/cert-manager-csi-driver@v0.14.0,default,gitops_oci_live,G,pass,pass,no,,,
jetstack/cert-manager-csi-driver@v0.14.0,default,live_helm_vs_confighub_parity,P,pass,pass,no,,,
jetstack/cert-manager-csi-driver@v0.14.0,default,two_cluster_kind_parity,K,pass,pass,no,,,
jetstack/cert-manager@v1.20.2,crds-enabled,render_parity,R,pass,pass,no,,,
jetstack/cert-manager@v1.20.2,crds-enabled,in_confighub,C,pass,pass,no,,,
jetstack/cert-manager@v1.20.2,crds-enabled,local_live,L,pass,pass,no,,,
jetstack/cert-manager@v1.20.2,crds-enabled,gitops_oci_live,G,pass,pass,no,,,
jetstack/cert-manager@v1.20.2,crds-enabled,live_helm_vs_confighub_parity,P,pass,pass,no,,,
jetstack/cert-manager@v1.20.2,crds-enabled,two_cluster_kind_parity,K,pass,pass,no,,,
jetstack/cert-manager@v1.20.2,default,render_parity,R,pass,pass,no,,,
jetstack/cert-manager@v1.20.2,default,in_confighub,C,pass,pass,no,,,
jetstack/cert-manager@v1.20.2,default,local_live,L,pass,pass,no,,,
jetstack/cert-manager@v1.20.2,default,gitops_oci_live,G,pass,pass,no,,,
jetstack/cert-manager@v1.20.2,default,live_helm_vs_confighub_parity,P,pass,pass,no,,,
