chart,feature,status,support_meaning,evidence
argo-cd/argo-workflows@1.0.14,other_hooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/weirdness-and-mitigations.md
argo-cd/argo-workflows@1.0.14,hook_status,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/weirdness-and-mitigations.md
argo-cd/argo-workflows@1.0.14,generates_secrets,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/weirdness-and-mitigations.md
argo-cd/argo-workflows@1.0.14,existing_secret,n/a,bring-your-own-secret route status,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/weirdness-and-mitigations.md
argo-cd/argo-workflows@1.0.14,crds,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/weirdness-and-mitigations.md
argo-cd/argo-workflows@1.0.14,no_crds_variant,n/a (no CRDs),CRD ownership route status,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/weirdness-and-mitigations.md
argo-cd/argo-workflows@1.0.14,webhooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/weirdness-and-mitigations.md
argo-cd/argo-workflows@1.0.14,required_values,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/weirdness-and-mitigations.md
argo-cd/argo-workflows@1.0.14,values_schema,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/weirdness-and-mitigations.md
argo-cd/argo-workflows@1.0.14,install_vs_upgrade,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/weirdness-and-mitigations.md
argo-cd/argo-workflows@1.0.14,notes,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/weirdness-and-mitigations.md
argo-cd/argo-workflows@1.0.14,extension_slots,yes - per-use review,open extension slots require per-use review,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/weirdness-and-mitigations.md
argo-cd/argo-workflows@1.0.14,buildable_not_yet_run,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/weirdness-and-mitigations.md
argo-cd/argo-workflows@1.0.14,not_yet_enabled,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),no hard capability gap recorded,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml;recipes/argo-cd/argo-workflows/1.0.14/weirdness-and-mitigations.md
argo-cd/argocd-image-updater@1.2.2,post_deploy_hooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/weirdness-and-mitigations.md
argo-cd/argocd-image-updater@1.2.2,other_hooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/weirdness-and-mitigations.md
argo-cd/argocd-image-updater@1.2.2,hook_status,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/weirdness-and-mitigations.md
argo-cd/argocd-image-updater@1.2.2,generates_secrets,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/weirdness-and-mitigations.md
argo-cd/argocd-image-updater@1.2.2,existing_secret,buildable - not yet run,bring-your-own-secret route status,data/chart-facts/chart-facts.csv;recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/weirdness-and-mitigations.md
argo-cd/argocd-image-updater@1.2.2,crds,present,tracked chart fact,data/chart-facts/chart-facts.csv;recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/weirdness-and-mitigations.md
argo-cd/argocd-image-updater@1.2.2,no_crds_variant,"NOT built - template-baked CRDs, no toggle (#114)",CRD ownership route status,data/chart-facts/chart-facts.csv;recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/weirdness-and-mitigations.md
